skill_name,skill_url
Memcached,http://www.linkedin.com/skills/skill/Memcached
Android Development,http://www.linkedin.com/skills/skill/Android_Development
PhoneGap,http://www.linkedin.com/skills/skill/PhoneGap
Networking,http://www.linkedin.com/skills/skill/Networking
JavaScriptMVC,http://www.linkedin.com/skills/skill/JavaScriptMVC
CSS3,http://www.linkedin.com/skills/skill/CSS3
Apache SOLR,http://www.linkedin.com/skills/skill/Apache_SOLR
Ubuntu,http://www.linkedin.com/skills/skill/Ubuntu
Windows,http://www.linkedin.com/skills/skill/Windows
Applications,http://www.linkedin.com/skills/skill/Applications
Nginx,http://www.linkedin.com/skills/skill/Nginx
Facebook API,http://www.linkedin.com/skills/skill/Facebook_API
JSON,http://www.linkedin.com/skills/skill/JSON
Mercurial,http://www.linkedin.com/skills/skill/Mercurial
REST,http://www.linkedin.com/skills/skill/REST
jQuery UI,http://www.linkedin.com/skills/skill/jQuery_UI
MVC,http://www.linkedin.com/skills/skill/MVC
Redis,http://www.linkedin.com/skills/skill/Redis
Agile Project Management,http://www.linkedin.com/skills/skill/Agile_Project_Management
VMware,http://www.linkedin.com/skills/skill/VMware
VirtualBox,http://www.linkedin.com/skills/skill/VirtualBox
Metro ( Windows 8 ) Apps,http://www.linkedin.com/skills/skill/Metro_(_Windows_8_)_Apps
Phantom.js,http://www.linkedin.com/skills/skill/Phantom.js
Casper.js,http://www.linkedin.com/skills/skill/Casper.js
Amazon Web Services (AWS),http://www.linkedin.com/skills/skill/Amazon_Web_Services_(AWS)
Rackspace Cloud,http://www.linkedin.com/skills/skill/Rackspace_Cloud
Zabbix,http://www.linkedin.com/skills/skill/Zabbix
SASS,http://www.linkedin.com/skills/skill/SASS
Corporate Law,http://www.linkedin.com/skills/skill/Corporate_Law
Intellectual Property,http://www.linkedin.com/skills/skill/Intellectual_Property
Venture Financing,http://www.linkedin.com/skills/skill/Venture_Financing
Angel Investing,http://www.linkedin.com/skills/skill/Angel_Investing
Joint Ventures,http://www.linkedin.com/skills/skill/Joint_Ventures
Commercial Litigation,http://www.linkedin.com/skills/skill/Commercial_Litigation
Private Equity,http://www.linkedin.com/skills/skill/Private_Equity
.NET,http://www.linkedin.com/skills/skill/.NET
System Architecture,http://www.linkedin.com/skills/skill/System_Architecture
Oracle SQL,http://www.linkedin.com/skills/skill/Oracle_SQL
WCF,http://www.linkedin.com/skills/skill/WCF
Web Services,http://www.linkedin.com/skills/skill/Web_Services
WinForms,http://www.linkedin.com/skills/skill/WinForms
.NET Remoting,http://www.linkedin.com/skills/skill/.NET_Remoting
LINQ,http://www.linkedin.com/skills/skill/LINQ
SQL Server,http://www.linkedin.com/skills/skill/SQL_Server
IIS,http://www.linkedin.com/skills/skill/IIS
T-SQL,http://www.linkedin.com/skills/skill/T-SQL
Visual Studio,http://www.linkedin.com/skills/skill/Visual_Studio
Windows Services,http://www.linkedin.com/skills/skill/Windows_Services
Distributed Systems,http://www.linkedin.com/skills/skill/Distributed_Systems
Oracle,http://www.linkedin.com/skills/skill/Oracle
